Ts,x,y,label
50,3.66799,0.00828,1
50,1.88277,-0.01458,1
50,2.57946,0.01715,1
50,1.54069,-0.00367,1
50,1.50623,-0.00076,1
50,2.39232,-0.00808,1
50,3.86634,0.00618,1
51,3.49860,-0.01896,1
51,2.27141,-0.01577,1
51,3.66799,0.00828,1
51,3.82977,0.01215,1
51,1.18552,0.09077,1
51,1.59092,0.00544,1
51,2.39232,-0.00808,1
52,3.53149,-0.01710,1
52,2.39008,0.00746,1
52,2.27141,-0.01577,1
52,2.94540,-0.01920,1
52,3.85499,-0.00112,1
52,1.59092,0.00544,1
52,2.10610,-0.01971,1
52,1.11692,0.14470,0
53,2.39008,0.00746,1
53,2.57946,0.01715,1
53,3.85499,-0.00112,1
53,1.37392,0.04328,1
53,1.44532,0.03863,1
53,3.37805,-0.00821,1
53,3.53373,0.01254,1
53,1.59092,0.00544,1
53,2.10610,-0.01971,1
54,1.47007,0.01845,1
54,2.39008,0.00746,1
54,3.74603,0.00989,1
54,1.66426,0.00519,1
54,1.88277,-0.01458,1
54,3.82977,0.01215,1
54,3.37805,-0.00821,1
54,3.53373,0.01254,1
54,2.10610,-0.01971,1
55,2.27141,-0.01577,1
55,1.88277,-0.01458,1
55,1.54069,-0.00367,1
55,1.45045,0.02844,1
55,3.34826,0.00859,1
56,3.95283,0.01679,1
56,3.53149,-0.01710,1
56,3.75497,-0.02119,1
56,1.88277,-0.01458,1
56,2.57946,0.01715,1
56,1.18552,0.09077,1
57,3.75497,-0.02119,1
57,2.05867,-0.01172,1
57,2.27141,-0.01577,1
57,3.66799,0.00828,1
57,3.80419,-0.01036,1
57,3.37805,-0.00821,1
57,1.50623,-0.00076,1
57,2.10610,-0.01971,1
57,1.11692,0.14470,1
57,2.83429,-0.01439,1
57,3.86634,0.00618,1
58,1.47007,0.01845,1
58,3.49860,-0.01896,1
58,3.56147,-0.01734,1
58,3.75497,-0.02119,1
58,2.05867,-0.01172,1
58,3.66799,0.00828,1
58,3.80419,-0.01036,1
58,2.10610,-0.01971,1
59,3.53149,-0.01710,1
59,3.49860,-0.01896,1
59,3.75497,-0.02119,1
59,2.05867,-0.01172,1
59,2.94540,-0.01920,1
59,2.57946,0.01715,1
59,1.50623,-0.00076,1
60,3.53149,-0.01710,1
60,2.05867,-0.01172,1
60,3.74603,0.00989,1
60,2.27141,-0.01577,1
60,1.44421,0.01324,1
60,2.57946,0.01715,1
60,1.77936,-0.00408,1
60,1.59092,0.00544,1
60,3.64050,-0.00544,1
61,3.49860,-0.01896,1
61,2.05867,-0.01172,1
61,2.27141,-0.01577,1
61,1.37392,0.04328,1
61,1.44532,0.03863,1
61,3.64050,-0.00544,1
61,3.68140,-0.01043,1
62,3.49860,-0.01896,1
62,2.05867,-0.01172,1
62,2.27141,-0.01577,1
62,1.37392,0.04328,1
62,2.45395,0.02007,1
62,1.44532,0.03863,1
62,3.93937,-0.05680,0
62,3.68140,-0.01043,1
63,3.96749,-0.05060,0
63,1.88277,-0.01458,1
63,1.37392,0.04328,1
63,3.37805,-0.00821,1
63,3.93937,-0.05680,1
63,2.39232,-0.00808,1
64,3.75497,-0.02119,1
64,3.66799,0.00828,1
64,1.88277,-0.01458,1
64,1.37392,0.04328,1
64,2.45395,0.02007,1
64,3.37805,-0.00821,1
64,1.54069,-0.00367,1
64,1.45045,0.02844,1
64,3.64050,-0.00544,1
64,2.39232,-0.00808,1
65,2.05867,-0.01172,1
65,3.66799,0.00828,1
65,1.37392,0.04328,1
65,2.45395,0.02007,1
65,1.44532,0.03863,1
65,3.37805,-0.00821,1
65,1.45045,0.02844,1
65,2.39232,-0.00808,1
66,2.05867,-0.01172,1
66,2.27141,-0.01577,1
66,3.66799,0.00828,1
66,2.29810,-0.00846,1
66,1.45045,0.02844,1
67,1.47007,0.01845,1
67,3.75497,-0.02119,1
67,2.05867,-0.01172,1
67,3.66799,0.00828,1
67,2.94540,-0.01920,1
67,1.66426,0.00519,1
67,1.88277,-0.01458,1
67,3.68140,-0.01043,1
67,3.34826,0.00859,1
68,1.47007,0.01845,1
68,3.49860,-0.01896,1
68,2.39008,0.00746,1
68,2.05867,-0.01172,1
68,3.66799,0.00828,1
68,1.44421,0.01324,1
68,2.45395,0.02007,1
68,3.37805,-0.00821,1
68,3.93937,-0.05680,1
68,2.10610,-0.01971,1
68,1.11692,0.14470,1
69,3.56147,-0.01734,1
69,3.75497,-0.02119,1
69,3.66799,0.00828,1
69,2.94540,-0.01920,1
69,1.44421,0.01324,1
69,2.45395,0.02007,1
69,3.37805,-0.00821,1
69,3.93937,-0.05680,1
69,1.54069,-0.00367,1
69,2.10610,-0.01971,1
69,3.64050,-0.00544,1
69,1.11692,0.14470,1
70,1.47007,0.01845,1
70,2.27141,-0.01577,1
70,2.94540,-0.01920,1
70,2.29810,-0.00846,1
70,2.45395,0.02007,1
70,3.37805,-0.00821,1
70,3.93937,-0.05680,1
70,1.54069,-0.00367,1
70,2.10610,-0.01971,1
70,1.11692,0.14470,1
70,3.87692,-0.04239,0
71,2.27141,-0.01577,1
71,2.94540,-0.01920,1
71,2.45395,0.02007,1
71,1.77936,-0.00408,1
71,3.93937,-0.05680,1
71,3.53373,0.01254,1
71,2.10610,-0.01971,1
71,3.64050,-0.00544,1
71,1.11692,0.14470,1
71,3.87692,-0.04239,1
71,2.83429,-0.01439,1
72,2.94540,-0.01920,1
72,3.53373,0.01254,1
72,1.59092,0.00544,1
72,3.87692,-0.04239,1
72,3.34826,0.00859,1
72,2.83429,-0.01439,1
73,2.39008,0.00746,1
73,1.44421,0.01324,1
73,1.66426,0.00519,1
73,1.88277,-0.01458,1
73,2.57946,0.01715,1
73,1.54069,-0.00367,1
73,3.87692,-0.04239,1
73,3.34826,0.00859,1
74,1.47007,0.01845,1
74,3.75497,-0.02119,1
74,2.39008,0.00746,1
74,1.11692,0.14470,1
74,3.87692,-0.04239,1
74,3.34826,0.00859,1
75,3.96749,-0.05060,1
75,3.53149,-0.01710,1
75,2.39008,0.00746,1
75,2.27141,-0.01577,1
75,3.66799,0.00828,1
75,2.94540,-0.01920,1
75,1.37392,0.04328,1
75,3.37805,-0.00821,1
75,1.45045,0.02844,1
75,3.34826,0.00859,1
76,1.47007,0.01845,1
76,3.56147,-0.01734,1
76,2.27141,-0.01577,1
76,3.93937,-0.05680,1
76,2.39232,-0.00808,1
77,3.74603,0.00989,1
77,2.27141,-0.01577,1
77,3.80419,-0.01036,1
77,1.52887,-0.01666,1
77,2.39232,-0.00808,1
77,3.68140,-0.01043,1
77,3.87692,-0.04239,1
78,3.74603,0.00989,1
78,2.94540,-0.01920,1
78,1.44421,0.01324,1
78,3.53373,0.01254,1
78,1.54069,-0.00367,1
78,2.39232,-0.00808,1
78,3.68140,-0.01043,1
79,3.53149,-0.01710,1
79,2.39008,0.00746,1
79,1.52887,-0.01666,1
79,1.18552,0.09077,1
79,1.45045,0.02844,1
79,2.39232,-0.00808,1
80,3.53149,-0.01710,1
80,2.05867,-0.01172,1
80,1.66426,0.00519,1
80,1.45045,0.02844,1
80,1.11692,0.14470,1
80,2.39232,-0.00808,1
80,3.34826,0.00859,1
81,3.53149,-0.01710,1
81,1.47007,0.01845,1
81,2.45395,0.02007,1
81,1.54069,-0.00367,1
81,2.10610,-0.01971,1
81,1.45045,0.02844,1
81,2.39232,-0.00808,1
81,3.87692,-0.04239,1
82,1.47007,0.01845,1
82,1.88277,-0.01458,1
82,2.10610,-0.01971,1
82,2.39232,-0.00808,1
83,1.47007,0.01845,1
83,3.66799,0.00828,1
83,2.94540,-0.01920,1
83,1.18552,0.09077,1
83,2.10610,-0.01971,1
83,2.39232,-0.00808,1
83,3.87692,-0.04239,1
84,3.53149,-0.01710,1
84,3.75497,-0.02119,1
84,1.66426,0.00519,1
84,2.57946,0.01715,1
84,1.52887,-0.01666,1
84,3.93937,-0.05680,1
84,3.68140,-0.01043,1
84,3.87692,-0.04239,1
85,1.47007,0.01845,1
85,3.75497,-0.02119,1
85,2.94540,-0.01920,1
85,1.88277,-0.01458,1
85,2.45395,0.02007,1
85,1.59092,0.00544,1
85,3.87692,-0.04239,1
86,3.74603,0.00989,1
86,2.27141,-0.01577,1
86,2.57946,0.01715,1
86,1.52887,-0.01666,1
86,2.45395,0.02007,1
86,3.37805,-0.00821,1
86,1.59092,0.00544,1
86,1.50623,-0.00076,1
86,1.11692,0.14470,1
87,3.74603,0.00989,1
87,2.27141,-0.01577,1
87,1.66426,0.00519,1
87,2.57946,0.01715,1
87,1.52887,-0.01666,1
87,1.18552,0.09077,1
87,1.59092,0.00544,1
87,1.54069,-0.00367,1
87,2.10610,-0.01971,1
88,2.39008,0.00746,1
88,2.05867,-0.01172,1
88,3.74603,0.00989,1
88,2.27141,-0.01577,1
88,1.44421,0.01324,1
88,1.66426,0.00519,1
88,2.45395,0.02007,1
88,3.53373,0.01254,1
88,1.18552,0.09077,1
88,2.83429,-0.01439,1
89,2.05867,-0.01172,1
89,2.27141,-0.01577,1
89,3.66799,0.00828,1
89,1.88277,-0.01458,1
89,2.45395,0.02007,1
89,3.93937,-0.05680,1
89,3.53373,0.01254,1
89,1.18552,0.09077,1
89,1.11692,0.14470,1
89,2.83429,-0.01439,1
90,2.05867,-0.01172,1
90,3.66799,0.00828,1
90,2.94540,-0.01920,1
90,1.88277,-0.01458,1
90,1.37392,0.04328,1
90,2.45395,0.02007,1
90,3.53373,0.01254,1
90,3.87692,-0.04239,1
91,2.39008,0.00746,1
91,3.66799,0.00828,1
91,1.88277,-0.01458,1
91,2.45395,0.02007,1
91,3.53373,0.01254,1
91,2.10610,-0.01971,1
91,1.45045,0.02844,1
91,3.87692,-0.04239,1
92,3.96749,-0.05060,1
92,3.75497,-0.02119,1
92,1.77936,-0.00408,1
92,3.37805,-0.00821,1
92,3.53373,0.01254,1
92,1.45045,0.02844,1
92,2.39232,-0.00808,1
92,3.87692,-0.04239,1
92,3.34826,0.00859,1
92,2.83429,-0.01439,1
93,3.56147,-0.01734,1
93,2.27141,-0.01577,1
93,3.37805,-0.00821,1
93,3.53373,0.01254,1
93,1.45045,0.02844,1
93,3.34826,0.00859,1
94,1.47007,0.01845,1
94,3.56147,-0.01734,1
94,2.27141,-0.01577,1
94,2.94540,-0.01920,1
94,2.57946,0.01715,1
94,3.80419,-0.01036,1
94,1.52887,-0.01666,1
94,3.37805,-0.00821,1
94,2.10610,-0.01971,1
95,1.47007,0.01845,1
95,2.27141,-0.01577,1
95,2.94540,-0.01920,1
95,1.44421,0.01324,1
95,3.80419,-0.01036,1
95,1.52887,-0.01666,1
95,1.37392,0.04328,1
95,3.37805,-0.00821,1
95,3.93937,-0.05680,1
95,2.10610,-0.01971,1
96,2.27141,-0.01577,1
96,2.94540,-0.01920,1
96,3.80419,-0.01036,1
96,1.52887,-0.01666,1
96,1.18552,0.09077,1
96,1.50623,-0.00076,1
96,1.45045,0.02844,1
96,3.64050,-0.00544,1
96,1.55914,-0.02763,1
96,1.11692,0.14470,1
96,2.83429,-0.01439,1
97,3.74603,0.00989,1
97,2.27141,-0.01577,1
97,2.94540,-0.01920,1
97,1.44421,0.01324,1
97,1.66426,0.00519,1
97,2.29810,-0.00846,1
97,3.80419,-0.01036,1
97,1.52887,-0.01666,1
97,1.18552,0.09077,1
97,1.50623,-0.00076,1
97,1.11692,0.14470,1
97,2.39232,-0.00808,1
98,3.96749,-0.05060,1
98,2.39008,0.00746,1
98,2.27141,-0.01577,1
98,3.66799,0.00828,1
98,2.94540,-0.01920,1
98,1.44421,0.01324,1
98,2.57946,0.01715,1
98,1.52887,-0.01666,1
98,1.44532,0.03863,1
98,1.45045,0.02844,1
99,3.96749,-0.05060,1
99,2.27141,-0.01577,1
99,2.94540,-0.01920,1
99,1.47065,0.05284,0
99,2.29810,-0.00846,1
99,1.77936,-0.00408,1
99,1.44532,0.03863,1
99,3.93937,-0.05680,1
99,2.10610,-0.01971,1
100,3.96749,-0.05060,1
100,3.53149,-0.01710,1
100,3.49860,-0.01896,1
100,1.47065,0.05284,1
100,1.44532,0.03863,1
100,3.34826,0.00859,1
101,3.56147,-0.01734,1
101,1.47065,0.05284,1
101,1.66426,0.00519,1
101,1.44532,0.03863,1
101,3.34826,0.00859,1
102,3.49860,-0.01896,1
102,2.39008,0.00746,1
102,3.66799,0.00828,1
102,1.47065,0.05284,1
102,1.66426,0.00519,1
102,2.57946,0.01715,1
102,1.44532,0.03863,1
102,1.45045,0.02844,1
103,3.53149,-0.01710,1
103,3.49860,-0.01896,1
103,2.39008,0.00746,1
103,3.66799,0.00828,1
103,2.94540,-0.01920,1
103,1.47065,0.05284,1
103,1.44532,0.03863,1
103,3.93937,-0.05680,1
103,2.10610,-0.01971,1
103,1.45045,0.02844,1
103,1.11692,0.14470,1
103,2.39232,-0.00808,1
104,3.49860,-0.01896,1
104,2.39008,0.00746,1
104,3.74603,0.00989,1
104,2.27141,-0.01577,1
104,2.94540,-0.01920,1
104,1.47065,0.05284,1
104,1.77936,-0.00408,1
104,1.44532,0.03863,1
104,3.37805,-0.00821,1
104,3.93937,-0.05680,1
104,1.45045,0.02844,1
104,1.11692,0.14470,1
104,2.39232,-0.00808,1
105,3.56147,-0.01734,1
105,2.27141,-0.01577,1
105,2.94540,-0.01920,1
105,1.47065,0.05284,1
105,1.44532,0.03863,1
105,3.93937,-0.05680,1
105,3.68140,-0.01043,1
106,1.47065,0.05284,1
106,1.88277,-0.01458,1
106,1.44532,0.03863,1
106,1.18552,0.09077,1
107,3.96749,-0.05060,1
107,3.53149,-0.01710,1
107,2.05867,-0.01172,1
107,1.66426,0.00519,1
107,2.45395,0.02007,1
107,1.44532,0.03863,1
107,3.93937,-0.05680,1
107,1.18552,0.09077,1
107,2.10610,-0.01971,1
108,3.53149,-0.01710,1
108,2.05867,-0.01172,1
108,1.44532,0.03863,1
108,3.93937,-0.05680,1
108,2.39232,-0.00808,1
108,3.34826,0.00859,1
109,1.47007,0.01845,1
109,2.39008,0.00746,1
109,2.57946,0.01715,1
109,2.29810,-0.00846,1
109,3.80419,-0.01036,1
109,1.50623,-0.00076,1
