Ts,x,y,label,life
40,2.29810,-0.00846,1.0,42
41,2.29810,-0.00846,1.0,42
42,2.29810,-0.00846,1.0,42
43,2.29810,-0.00846,1.0,42
44,2.29810,-0.00846,1.0,42
46,2.29810,-0.00846,1.0,42
47,2.29810,-0.00846,1.0,42
48,2.29810,-0.00846,1.0,42
49,2.29810,-0.00846,1.0,42
66,2.29810,-0.00846,0.1,0
70,2.29810,-0.00846,0.1,0
97,2.29810,-0.00846,0.1,0
99,2.29810,-0.00846,0.1,0
109,2.29810,-0.00846,0.1,0
117,2.29810,-0.00846,0.1,0
124,2.29810,-0.00846,0.1,0
140,2.29810,-0.00846,1.0,42
141,2.29810,-0.00846,1.0,42
151,2.29810,-0.00846,0.1,0
153,2.29810,-0.00846,1.0,42
154,2.29810,-0.00846,1.0,42
164,2.29810,-0.00846,1.0,42
165,2.29810,-0.00846,1.0,42
166,2.29810,-0.00846,1.0,42
190,2.29810,-0.00846,0.1,0
196,2.29810,-0.00846,0.1,0
198,2.29810,-0.00846,0.1,0
200,2.29810,-0.00846,0.1,0
203,2.29810,-0.00846,0.1,0
207,2.29810,-0.00846,1.0,42
208,2.29810,-0.00846,1.0,42
224,2.29810,-0.00846,0.1,0
227,2.29810,-0.00846,1.0,42
228,2.29810,-0.00846,1.0,42
234,2.29810,-0.00846,0.1,0
241,2.29810,-0.00846,0.1,0
258,2.29810,-0.00846,0.1,0
261,2.29810,-0.00846,1.0,42
262,2.29810,-0.00846,1.0,42
263,2.29810,-0.00846,1.0,42
264,2.29810,-0.00846,1.0,42
267,2.29810,-0.00846,1.0,42
268,2.29810,-0.00846,1.0,42
269,2.29810,-0.00846,1.0,42
270,2.29810,-0.00846,1.0,42
271,2.29810,-0.00846,1.0,42
282,2.29810,-0.00846,1.0,42
283,2.29810,-0.00846,1.0,42
286,2.29810,-0.00846,0.1,0
291,2.29810,-0.00846,0.1,0
294,2.29810,-0.00846,1.0,42
295,2.29810,-0.00846,1.0,42
296,2.29810,-0.00846,1.0,42
297,2.29810,-0.00846,1.0,42
298,2.29810,-0.00846,1.0,42
301,2.29810,-0.00846,1.0,42
302,2.29810,-0.00846,1.0,42
