,xp,yp,life
569,2.210231,-0.038944,13
570,3.061227,0.01934,16
571,2.622676,-0.045316,4
572,4.145686,0.036094,5
573,3.921398,0.008669,62
574,4.114236,0.03833,16
576,2.504173,-0.067785,5
578,1.649137,-0.033046,9
579,1.704342,-0.03681,1
580,3.983451,0.028772,58
581,2.702028,-0.034093,2
582,1.537297,-0.060202,13
583,1.747505,-0.021443,1
585,1.445298,-0.088036,3
587,1.509171,-0.071306,5
588,3.357048,0.016759,1
589,3.886991,0.01079,55
590,2.388373,-0.06967,9
592,3.201266,0.023684,12
593,3.567488,0.011011,3
595,2.940132,0.022,2
596,2.106583,-0.019049,10
598,2.743844,0.003238,4
599,1.766806,0.000863,13
603,2.505241,-0.047404,3
604,3.96101,0.032048,2
605,1.607174,-0.03003,3
606,1.286445,-0.049199,10
607,2.679079,-0.01662,4
608,2.574433,-0.03152,3
609,3.457656,0.012895,2
611,3.703881,0.030617,10
612,2.040003,-0.010849,6
614,2.594033,-0.024594,1
615,3.567488,0.011011,3
616,2.622676,-0.045316,10
617,2.940132,0.022,3
621,1.211776,-0.037726,4
622,2.472779,-0.078629,17
623,1.408348,-0.083138,2
624,2.062577,-0.002479,9
626,2.702028,-0.034093,9
628,2.271182,-0.040393,1
629,2.702587,-0.030184,9
630,2.487772,-0.071249,14
631,3.814297,0.011508,7
634,3.457656,0.012895,7
636,2.964618,0.037608,8
639,2.124811,-0.029209,3
640,2.594144,-0.047869,16
641,2.504173,-0.067785,16
642,2.944486,0.035967,10
644,4.12293,0.051923,65
647,3.107201,0.025244,16
649,3.521217,0.029814,31
651,1.649137,-0.033046,8
653,2.320992,-0.061228,13
655,1.607174,-0.03003,5
656,2.721304,-0.012866,5
658,1.882424,0.015676,9
659,1.445298,-0.088036,2
660,1.302624,-0.060899,6
661,1.288682,-0.064484,5
662,1.408348,-0.083138,1
663,3.977539,0.029031,35
665,2.388373,-0.06967,4
666,2.534755,-0.07488,5
668,2.271182,-0.040393,4
669,3.567488,0.011011,2
671,4.145686,0.036094,2
672,3.46822,0.02196,13
673,1.969503,0.027134,10
674,3.415152,0.001695,1
675,1.90653,0.023501,10
677,1.507426,-0.060069,4
678,2.378292,-0.062044,1
679,2.940132,0.022,1
680,3.96101,0.032048,2
683,3.357048,0.016759,8
684,3.261869,0.030369,6
685,3.648756,0.061264,18
686,2.91247,0.019147,10
687,2.940132,0.022,10
690,3.706718,0.055523,29
691,1.703084,-0.019258,4
692,1.286445,-0.049199,1
693,3.201266,0.023684,10
694,1.848081,0.006183,9
696,2.166175,-0.005263,2
697,1.509171,-0.071306,8
698,3.414015,0.028823,2
699,1.408348,-0.083138,7
700,1.537297,-0.060202,12
701,4.057204,0.034382,59
703,3.171876,0.017694,5
705,1.286262,-0.060183,18
706,1.445298,-0.088036,7
708,4.114236,0.03833,59
709,3.674029,0.055529,14
710,3.011774,0.012315,4
712,2.534755,-0.07488,7
713,2.721304,-0.012866,7
714,1.25747,-0.056109,14
715,2.685647,-0.001381,1
716,3.257561,0.01046,5
718,1.239108,-0.0457,20
719,1.77721,0.002664,13
720,3.96101,0.032048,2
723,2.679079,-0.01662,6
724,2.743844,0.003238,2
725,2.622676,-0.045316,5
726,2.342069,-0.063917,15
728,2.106583,-0.019049,1
730,2.210231,-0.038944,4
731,3.061227,0.01934,6
732,2.271182,-0.040393,6
733,2.685647,-0.001381,1
734,3.286972,0.033694,1
735,1.288682,-0.064484,18
739,2.944486,0.035967,1
740,1.649137,-0.033046,13
741,3.457656,0.012895,17
743,1.703084,-0.019258,4
744,3.261869,0.030369,9
745,1.333958,-0.046723,1
