Ts,x,y,label,life
49,1.20918,-0.09968,1.0,9
50,1.20918,-0.09968,1.0,9
51,1.20918,-0.09968,1.0,9
52,1.20918,-0.09968,1.0,9
36,1.21161,-0.06879,1.0,2
37,1.21161,-0.06879,1.0,2
38,1.21161,-0.06879,1.0,2
36,1.24425,-0.05477,1.0,1
37,1.24425,-0.05477,1.0,1
38,1.25010,-0.08084,1.0,4
39,1.25010,-0.08084,1.0,4
40,1.25010,-0.08084,1.0,4
41,1.25010,-0.08084,1.0,4
42,1.25010,-0.08084,1.0,4
34,1.26217,-0.05884,1.0,3
35,1.26217,-0.05884,1.0,3
36,1.26217,-0.05884,1.0,3
37,1.26217,-0.05884,1.0,3
32,1.27764,-0.05827,1.0,2
33,1.27764,-0.05827,1.0,2
34,1.27764,-0.05827,1.0,2
37,1.28628,-0.06884,1.0,3
38,1.28628,-0.06884,1.0,3
39,1.28628,-0.06884,1.0,3
40,1.28628,-0.06884,1.0,3
43,1.28657,-0.08873,1.0,9
44,1.28657,-0.08873,1.0,9
45,1.28657,-0.08873,1.0,9
46,1.28657,-0.08873,1.0,9
47,1.28657,-0.08873,1.0,9
48,1.28657,-0.08873,1.0,9
49,1.28657,-0.08873,1.0,9
50,1.28657,-0.08873,1.0,9
51,1.28657,-0.08873,1.0,9
52,1.28657,-0.08873,1.0,9
32,1.28873,-0.05209,1.0,3
33,1.28873,-0.05209,1.0,3
34,1.28873,-0.05209,1.0,3
35,1.28873,-0.05209,1.0,3
40,1.29033,-0.07700,1.0,2
41,1.29033,-0.07700,1.0,2
42,1.29033,-0.07700,1.0,2
2,1.29206,-0.01889,0.0,0
5,1.30147,-0.00952,1.0,3
6,1.30147,-0.00952,1.0,3
7,1.30147,-0.00952,1.0,3
8,1.30147,-0.00952,1.0,3
32,1.31005,-0.03692,1.0,3
33,1.31005,-0.03692,1.0,3
34,1.31005,-0.03692,1.0,3
35,1.31005,-0.03692,1.0,3
1,1.31661,0.00098,1.0,9
2,1.31661,0.00098,1.0,9
3,1.31661,0.00098,1.0,9
4,1.31661,0.00098,1.0,9
5,1.31661,0.00098,1.0,9
6,1.31661,0.00098,1.0,9
7,1.31661,0.00098,1.0,9
8,1.31661,0.00098,1.0,9
9,1.31661,0.00098,1.0,9
10,1.31661,0.00098,1.0,9
37,1.32333,-0.07474,1.0,3
38,1.32333,-0.07474,1.0,3
39,1.32333,-0.07474,1.0,3
40,1.32333,-0.07474,1.0,3
55,1.32425,-0.18762,1.0,2
56,1.32425,-0.18762,1.0,2
57,1.32425,-0.18762,1.0,2
59,1.32776,-0.24221,1.0,2
60,1.32776,-0.24221,1.0,2
61,1.32776,-0.24221,1.0,2
0,1.32786,0.00007,1.0,1
1,1.32786,0.00007,1.0,1
2,1.33198,0.00325,1.0,20
3,1.33198,0.00325,1.0,20
4,1.33198,0.00325,1.0,20
5,1.33198,0.00325,1.0,20
6,1.33198,0.00325,1.0,20
7,1.33198,0.00325,1.0,20
8,1.33198,0.00325,1.0,20
9,1.33198,0.00325,1.0,20
10,1.33198,0.00325,1.0,20
11,1.33198,0.00325,1.0,20
12,1.33198,0.00325,1.0,20
13,1.33198,0.00325,1.0,20
14,1.33198,0.00325,1.0,20
15,1.33198,0.00325,1.0,20
16,1.33198,0.00325,1.0,20
17,1.33198,0.00325,1.0,20
18,1.33198,0.00325,1.0,20
19,1.33198,0.00325,1.0,20
20,1.33198,0.00325,1.0,20
21,1.33198,0.00325,1.0,20
22,1.33198,0.00325,1.0,20
41,1.33372,-0.08854,1.0,9
42,1.33372,-0.08854,1.0,9
43,1.33372,-0.08854,1.0,9
44,1.33372,-0.08854,1.0,9
45,1.33372,-0.08854,1.0,9
46,1.33372,-0.08854,1.0,9
47,1.33372,-0.08854,1.0,9
48,1.33372,-0.08854,1.0,9
49,1.33372,-0.08854,1.0,9
50,1.33372,-0.08854,1.0,9
59,1.34175,-0.21078,1.0,4
60,1.34175,-0.21078,1.0,4
61,1.34175,-0.21078,1.0,4
62,1.34175,-0.21078,1.0,4
63,1.34175,-0.21078,1.0,4
54,1.34355,-0.16898,0.0,0
2,1.34365,0.00134,1.0,28
3,1.34365,0.00134,1.0,28
4,1.34365,0.00134,1.0,28
5,1.34365,0.00134,1.0,28
6,1.34365,0.00134,1.0,28
7,1.34365,0.00134,1.0,28
8,1.34365,0.00134,1.0,28
9,1.34365,0.00134,1.0,28
10,1.34365,0.00134,1.0,28
11,1.34365,0.00134,1.0,28
12,1.34365,0.00134,1.0,28
13,1.34365,0.00134,1.0,28
14,1.34365,0.00134,1.0,28
15,1.34365,0.00134,1.0,28
16,1.34365,0.00134,1.0,28
17,1.34365,0.00134,1.0,28
18,1.34365,0.00134,1.0,28
19,1.34365,0.00134,1.0,28
20,1.34365,0.00134,1.0,28
21,1.34365,0.00134,1.0,28
22,1.34365,0.00134,1.0,28
23,1.34365,0.00134,1.0,28
24,1.34365,0.00134,1.0,28
25,1.34365,0.00134,1.0,28
26,1.34365,0.00134,1.0,28
27,1.34365,0.00134,1.0,28
28,1.34365,0.00134,1.0,28
29,1.34365,0.00134,1.0,28
30,1.34365,0.00134,1.0,28
46,1.34678,-0.10145,1.0,1
47,1.34678,-0.10145,1.0,1
40,1.35331,-0.07418,1.0,2
41,1.35331,-0.07418,1.0,2
42,1.35331,-0.07418,1.0,2
41,1.35333,-0.08827,1.0,11
42,1.35333,-0.08827,1.0,11
43,1.35333,-0.08827,1.0,11
44,1.35333,-0.08827,1.0,11
45,1.35333,-0.08827,1.0,11
46,1.35333,-0.08827,1.0,11
47,1.35333,-0.08827,1.0,11
48,1.35333,-0.08827,1.0,11
49,1.35333,-0.08827,1.0,11
50,1.35333,-0.08827,1.0,11
51,1.35333,-0.08827,1.0,11
52,1.35333,-0.08827,1.0,11
